ID,Stock Code,UPC Full,Name,Size,Default Qty,unit cost,latest cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Don Not Discount,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No
"1","1820000771","018200007712","BUD 12PK NR 12OZ","12OZ","1","12.65","12.70","14.54","","","","","Tax","DOMESTIC BEER","BEER","HIGRADE","1.00","22.00","13.00","8.0","7","A","0","general",,"304","2","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"2","1820011047","018200110474","BUD 12-PACK CANS 12OZ","12OZ","1","12.30","12.30","14.54","2","24.60","2.06","27.99","Tax","DOMESTIC BEER","BEER","HIGRADE","7.00","7.00","15.41","2.0","2","B","0","general",,"2979","2","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"3","1820025000","018200250002","BUD 25 OZ CANS","25OZ","1","1.37","1.37","1.99","","","","","Tax","DOMESTIC BEER","BEER","HIGRADE","35.00","35.00","31.16","30.0","17","B","0","general",,"2981","15","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"4","1820000126","01812620","BUD 40 OZ NR","40OZ","1","2.65","2.65","3.28","","","","","Tax","DOMESTIC BEER","BEER","HIGRADE","26.00","26.00","19.21","36.0","31","A","0","general",,"2596","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5","1820000018","01801828","BUD 6-PACK CANS 16 OZ 16OZ","16OZ","1","7.37","7.38","8.44","4","29.48","4.72","31.99","Tax","DOMESTIC BEER","BEER","HIGRADE","11.00","11.00","12.68","4.0","2","B","0","general",,"2761","4","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"6","1820011030","018200110306","BUD 30-PACK CANS 12OZ","12OZ","1","26.10","26.10","28.14","","","","","Tax","DOMESTIC BEER","BEER","HIGRADE","12.00","12.00","7.25","3","3","A","1","general",,"956","1","",,1,,"0","0",Inventory Item,"",,,"1","1",1,,BUD 30-PACK CAN,
"7","1820000834","018200008344","BUD 6-PACK BTLS 12OZ","12OZ","1","6.78","6.78","8.44","","","","","Tax","DOMESTIC BEER","BEER","HIGRADE","14.00","14.00","19.67","0","0","D","0","general",,"2753","4","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"8","1820053047","018200530470","BUD LIGHT 12-PACK CANS 12OZ","12OZ","1","12.30","12.30","14.54","","","","","Tax","DOMESTIC BEER","BEER","HIGRADE","14.00","14.00","15.41","2.0","2","B","0","general",,"1972","2","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"9","3929500670, 5767400500","857674005004, 857674005004","SENOR SANGRIA RED 750ML","750ML","1","7.88","7.88","9.99","","","","","Tax","WINE SPANISH","WINE","SPSP","15.00, -10.00","5.00","21.12","1","1","C","0","general",,"374","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"10","1820000769","018200007699","BUD LIGHT 12-PACK BTLS 12OZ","12OZ","1","12.70","12.70","14.54","2","25.40","2.06","26.99","Tax","DOMESTIC BEER","BEER","HIGRADE","7.00","7.00","12.65","4.0","4","A","0","general",,"443","2","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
